Borrower ID,LoanType,Total Loan Amt,Mth1 paysts (May),Mth2 paysts (Apr),Mth3 paysts (Mar),Mth4 paysts (Feb),Mth5 paysts (Jan),Mth6 paysts (Dec 17),Mth7 paysts (Nov 17),Mth8 paysts (Oct 17),Mth9 paysts (Sep 17),Mth10 paysts (Aug 17),Mth11 paysts (Jul17),Mth12 paysts (Jun 17),obn,Loan Principal Amt,Loan Type,Is MECB member,Is MLCB member
2112,UNSECURED,600.0,-,-,-,CL,OK,-,-,-,-,-,-,-,MAIN BORROWER,1000,Personal - Pay Day,True,True
344,UNSECURED,305.5,-,-,-,-,CL,OK,OK,-,-,-,-,-,MAIN BORROWER,"
     
     
     
     
     
     
     
  ",Personal - Pay Day,True,True
2970,UNSECURED,304.39,-,-,-,-,CL,OK,OK,-,-,-,-,-,MAIN BORROWER,600,Personal - Pay Day,True,False
3860,UNSECURED,627.81,CL,-,OK,OK,OK,-,-,-,-,-,-,-,MAIN BORROWER,1000,Personal - Pay Day,False,False
2814,UNSECURED,70887.03,-,-,-,-,-,-,-,-,-,-,-,-,MAIN BORROWER,98025.37,Business,False,False
639,UNSECURED,643.68,OK,OK,OK,-,-,-,-,-,-,-,-,-,MAIN BORROWER,"
     
     
     
     
     
     
     
  ",Personal - Pay Day,True,True
767,UNSECURED,1086.17,-,-,CL,OK,OK,-,-,-,-,-,-,-,MAIN BORROWER,600,Personal - Pay Day,True,True
2679,UNSECURED,799.03,CL,OK,OK,OK,OK,-,-,-,-,-,-,-,MAIN BORROWER,800,Personal - Pay Day,False,False
1824,UNSECURED,254.78,-,-,-,-,CL,OK,OK,-,-,-,-,-,MAIN BORROWER,500,Personal - Pay Day,True,True
2072,UNSECURED,800.0,-,-,-,CL,OK,-,-,-,-,-,-,-,MAIN BORROWER,"
     
     
     
     
     
     
     
  ",Personal - Pay Day,True,True
1250,UNSECURED,800.0,OK,OK,-,-,-,-,-,-,-,-,-,-,MAIN BORROWER,"
     
     
     
     
     
     
     
  ",Personal - Pay Day,True,True
1096,UNSECURED,378.3,CL,OK,OK,OK,-,-,-,-,-,-,-,-,MAIN BORROWER,"
     
     
     
     
     
     
     
  ",Personal - Pay Day,True,True
